Province,District,Facility,TX_CURR ,,,,,,,,,,
Mashonaland Central,Mbire,Chapoto,184,,,,,,,,,,
Mashonaland Central,Mbire,Chidodo,453,,,,,,,,,,
Mashonaland Central,Mbire,Chikafa,409,,,,,,,,,,
Mashonaland Central,Mbire,Chirunya,206,,,,,,,,,,
Mashonaland Central,Mbire,Chitsungo,507,,,,,,,,,,
Mashonaland Central,Mbire,Gonono,105,,,,,,,,,,
Mashonaland Central,Mbire,Mahuwe,535,,,,,,,,,,
Mashonaland Central,Mbire,Masoka,50,,,,,,,,,,
Mashonaland Central,Mbire,Masomo,270,,,,,,,,,,
Mashonaland Central,Mbire,Musengezi,200,,,,,,,,,,
Mashonaland Central,Mbire,Mushumbi RHC,706,,,,,,,,,,
Mashonaland Central,Mbire,Nyambudzi,134,,,,,,,,,,
Mashonaland Central,Mount Darwin,Bandimba,605,,,,,,,,,,
Mashonaland Central,Mount Darwin,Bveke,474,,,,,,,,,,
Mashonaland Central,Mount Darwin,Chawanda,565,,,,,,,,,,
Mashonaland Central,Mount Darwin,Chibuli,413,,,,,,,,,,
Mashonaland Central,Mount Darwin,Chitepo,187,,,,,,,,,,
Mashonaland Central,Mount Darwin,Chitse,858,,,,,,,,,,
Mashonaland Central,Mount Darwin,Dotito Rural Health Centre,1315,,,,,,,,,,
Mashonaland Central,Mount Darwin,Kaitano,550,,,,,,,,,,
Mashonaland Central,Mount Darwin,Kamutsenzere Rural Health Centre,558,,,,,,,,,,
Mashonaland Central,Mount Darwin,Kandeya,157,,,,,,,,,,
Mashonaland Central,Mount Darwin,Karanda,813,,,,,,,,,,
Mashonaland Central,Mount Darwin,Mangare,0,,,,,,,,,,
Mashonaland Central,Mount Darwin,Matope,552,,,,,,,,,,
Mashonaland Central,Mount Darwin,Mount Darwin,3689,,,,,,,,,,
Mashonaland Central,Mount Darwin,Mount Darwin ZRP,0,,,,,,,,,,
Mashonaland Central,Mount Darwin,Mukumbura,824,,,,,,,,,,
Mashonaland Central,Mount Darwin,Murongwe,88,,,,,,,,,,
Mashonaland Central,Mount Darwin,Mutasa,285,,,,,,,,,,
Mashonaland Central,Mount Darwin,Mutungagore,465,,,,,,,,,,
Mashonaland Central,Mount Darwin,Mutwa,0,,,,,,,,,,
Mashonaland Central,Mount Darwin,Nembire Rural Health Centre,463,,,,,,,,,,
Mashonaland Central,Mount Darwin,Nyamahobogo Rural Health Centre,347,,,,,,,,,,
Mashonaland Central,Mount Darwin,Pachanza,600,,,,,,,,,,
Mashonaland Central,Mount Darwin,Pfunyanguwo Rural Health Centre,329,,,,,,,,,,
Mashonaland Central,Mount Darwin,Pfura,0,,,,,,,,,,
Mashonaland Central,Mount Darwin,Tsakare Rural Health Centre,370,,,,,,,,,,
Mashonaland Central,Mount Darwin,ZPS Mount Darwin Prison,19,,,,,,,,,,
Mashonaland Central,Rushinga,Bopoma,0,,,,,,,,,,
Mashonaland Central,Rushinga,Bungwe,323,,,,,,,,,,
Mashonaland Central,Rushinga,Chimandau Rural Health Centre,189,,,,,,,,,,
Mashonaland Central,Rushinga,Chimhanda,770,,,,,,,,,,
Mashonaland Central,Rushinga,Chomutukutu,155,,,,,,,,,,
Mashonaland Central,Rushinga,Ganganyama,74,,,,,,,,,,
Mashonaland Central,Rushinga,Mary Mount,492,,,,,,,,,,
Mashonaland Central,Rushinga,Mazowe Bridge Rural Health Centre,168,,,,,,,,,,
Mashonaland Central,Rushinga,Mukonde Rural Health Centre,212,,,,,,,,,,
Mashonaland Central,Rushinga,Mukosa Rural Health Centre,164,,,,,,,,,,
Mashonaland Central,Rushinga,Nhawa Rural Health Center,304,,,,,,,,,,
Mashonaland Central,Rushinga,Nyamatikiti Rural Health Centre,280,,,,,,,,,,
Mashonaland Central,Rushinga,Nyatsato,101,,,,,,,,,,
Mashonaland Central,Rushinga,Rusambo,163,,,,,,,,,,
Mashonaland Central,Rushinga,Rushinga Rural Health Centre,767,,,,,,,,,,
Mashonaland Central,Shamva,Bushu,1279,,,,,,,,,,
Mashonaland Central,Shamva,CZA,5,,,,,,,,,,
Mashonaland Central,Shamva,Chevakadzi,101,,,,,,,,,,
Mashonaland Central,Shamva,Chidembo,749,,,,,,,,,,
Mashonaland Central,Shamva,Chihuri,317,,,,,,,,,,
Mashonaland Central,Shamva,Chipoli,242,,,,,,,,,,
Mashonaland Central,Shamva,Chishapa,386,,,,,,,,,,
Mashonaland Central,Shamva,Goora Rural Health Centre,442,,,,,,,,,,
Mashonaland Central,Shamva,Madziwa Rural,1870,,,,,,,,,,
Mashonaland Central,Shamva,Madziwa Teachers' College,226,,,,,,,,,,
Mashonaland Central,Shamva,Mhokore,43,,,,,,,,,,
Mashonaland Central,Shamva,Mliti,351,,,,,,,,,,
Mashonaland Central,Shamva,Mupfure,82,,,,,,,,,,
Mashonaland Central,Shamva,Mupfurudzi Rural Health Centre,331,,,,,,,,,,
Mashonaland Central,Shamva,Nyamaropa Rural Health Centre,306,,,,,,,,,,
Mashonaland Central,Shamva,Nyamaruro Rural Health Centre,614,,,,,,,,,,
Mashonaland Central,Shamva,Shamva,2114,,,,,,,,,,
Mashonaland Central,Shamva,Shamva Gold Mine,154,,,,,,,,,,
Mashonaland Central,Shamva,Takawira,272,,,,,,,,,,
Mashonaland Central,Shamva,Wadzanai,1731,,,,,,,,,,
Mashonaland East,Chikomba,Bvumbura,131,,,,,,,,,,
Mashonaland East,Chikomba,Chivhu,3090,,,,,,,,,,
Mashonaland East,Chikomba,Chivhu CeSHHAR Mobile Sister's,0,,,,,,,,,,
Mashonaland East,Chikomba,Chivhu ZRP,29,,,,,,,,,,
Mashonaland East,Chikomba,Daramombe,196,,,,,,,,,,
Mashonaland East,Chikomba,Gamanya,0,,,,,,,,,,
Mashonaland East,Chikomba,Gandachibvuva,234,,,,,,,,,,
Mashonaland East,Chikomba,Gandami,121,,,,,,,,,,
Mashonaland East,Chikomba,Gokomere,148,,,,,,,,,,
Mashonaland East,Chikomba,Kadungure,90,,,,,,,,,,
Mashonaland East,Chikomba,Lancashire,61,,,,,,,,,,
Mashonaland East,Chikomba,Madamombe,248,,,,,,,,,,
Mashonaland East,Chikomba,Manyene,253,,,,,,,,,,
Mashonaland East,Chikomba,Masasa,239,,,,,,,,,,
Mashonaland East,Chikomba,Mashayamvura,11,,,,,,,,,,
Mashonaland East,Chikomba,Matanga,0,,,,,,,,,,
Mashonaland East,Chikomba,Mbiru,230,,,,,,,,,,
Mashonaland East,Chikomba,Mpatsi,115,,,,,,,,,,
Mashonaland East,Chikomba,Mufudziwakanaka Rural Health Centre,275,,,,,,,,,,
Mashonaland East,Chikomba,Murezi Rural Health Centre,119,,,,,,,,,,
Mashonaland East,Chikomba,Mushipe,170,,,,,,,,,,
Mashonaland East,Chikomba,Musumha Rural Health Centre,102,,,,,,,,,,
Mashonaland East,Chikomba,Mutoro,58,,,,,,,,,,
Mashonaland East,Chikomba,Mwerahari,165,,,,,,,,,,
Mashonaland East,Chikomba,Nhangabwe,303,,,,,,,,,,
Mashonaland East,Chikomba,Nharira Rural,589,,,,,,,,,,
Mashonaland East,Chikomba,Nyamhere Rural Health Centre,142,,,,,,,,,,
Mashonaland East,Chikomba,Philipsdale,196,,,,,,,,,,
Mashonaland East,Chikomba,Phillipsdale CESHHAR Mobile,0,,,,,,,,,,
Mashonaland East,Chikomba,Pokoteke,252,,,,,,,,,,
Mashonaland East,Chikomba,Range Rural Health Centre,144,,,,,,,,,,
Mashonaland East,Chikomba,Rutanhira,257,,,,,,,,,,
Mashonaland East,Chikomba,Sadza,754,,,,,,,,,,
Mashonaland East,Chikomba,Shumba,275,,,,,,,,,,
Mashonaland East,Chikomba,St Francis of Assisi Mission,28,,,,,,,,,,
Mashonaland East,Chikomba,Tavara,156,,,,,,,,,,
Mashonaland East,Chikomba,Unyetu,205,,,,,,,,,,
Mashonaland East,Chikomba,Wazvaramhaka,128,,,,,,,,,,
Mashonaland East,Chikomba,Wiltshire,50,,,,,,,,,,
Mashonaland East,Chikomba,ZPS Chivhu Prison,39,,,,,,,,,,
Mashonaland East,Chikomba,Zvamatobwe Rural Health Centre,216,,,,,,,,,,
Mashonaland East,Goromonzi,Arcturus Mine,0,,,,,,,,,,
Mashonaland East,Goromonzi,Artillery Field Ambulance Company,0,,,,,,,,,,
Mashonaland East,Goromonzi,Bosha Rural Health Centre,510,,,,,,,,,,
Mashonaland East,Goromonzi,Bromley,899,,,,,,,,,,
Mashonaland East,Goromonzi,Caledonia,3012,,,,,,,,,,
Mashonaland East,Goromonzi,Chabwino,263,,,,,,,,,,
Mashonaland East,Goromonzi,Chikwaka Rural,889,,,,,,,,,,
Mashonaland East,Goromonzi,Chinamhora,2309,,,,,,,,,,
Mashonaland East,Goromonzi,Chinyika,1318,,,,,,,,,,
Mashonaland East,Goromonzi,Chishawasha Mission Primary,0,,,,,,,,,,
Mashonaland East,Goromonzi,Chivaraidze Clinic(Pvt),16,,,,,,,,,,
Mashonaland East,Goromonzi,Cranborne,646,,,,,,,,,,
Mashonaland East,Goromonzi,Domboshava Rural Health Centre,1680,,,,,,,,,,
Mashonaland East,Goromonzi,Goromonzi High School,0,,,,,,,,,,
Mashonaland East,Goromonzi,Henry John Reimer,669,,,,,,,,,,
Mashonaland East,Goromonzi,Joan Rankine,557,,,,,,,,,,
Mashonaland East,Goromonzi,Kowoyo,1309,,,,,,,,,,
Mashonaland East,Goromonzi,Kubatsirana,892,,,,,,,,,,
Mashonaland East,Goromonzi,Makumbe,3180,,,,,,,,,,
Mashonaland East,Goromonzi,Masikandoro,433,,,,,,,,,,
Mashonaland East,Goromonzi,Melfort,522,,,,,,,,,,
Mashonaland East,Goromonzi,Mwanza Rural Health Centre,1097,,,,,,,,,,
Mashonaland East,Goromonzi,Nyaure,398,,,,,,,,,,
Mashonaland East,Goromonzi,Pagejo RaRuby,481,,,,,,,,,,
Mashonaland East,Goromonzi,Pote,520,,,,,,,,,,
Mashonaland East,Goromonzi,Rusike,834,,,,,,,,,,
Mashonaland East,Goromonzi,Rusununguko,0,,,,,,,,,,
Mashonaland East,Goromonzi,St Dominics Chishawasha School,0,,,,,,,,,,
Mashonaland East,Goromonzi,St Joseph's,1351,,,,,,,,,,
Mashonaland East,Goromonzi,Xanadu,206,,,,,,,,,,
Mashonaland East,Goromonzi,ZPS Goromonzi,11,,,,,,,,,,
Mashonaland East,Hwedza,Chanakira,0,,,,,,,,,,
Mashonaland East,Hwedza,Chigondo,315,,,,,,,,,,
Mashonaland East,Hwedza,Chikurumadziva,120,,,,,,,,,,
Mashonaland East,Hwedza,Chirume,298,,,,,,,,,,
Mashonaland East,Hwedza,Garaba Rural Health Centre,483,,,,,,,,,,
Mashonaland East,Hwedza,Goneso Rural Health Centre,202,,,,,,,,,,
Mashonaland East,Hwedza,Goto,499,,,,,,,,,,
Mashonaland East,Hwedza,Gotora/Skimpton,264,,,,,,,,,,
Mashonaland East,Hwedza,Hwedza Rural,1651,,,,,,,,,,
Mashonaland East,Hwedza,Idube,509,,,,,,,,,,
Mashonaland East,Hwedza,Madzimbabwe,102,,,,,,,,,,
Mashonaland East,Hwedza,Makarara,324,,,,,,,,,,
Mashonaland East,Hwedza,Mt St Mary's,909,,,,,,,,,,
Mashonaland East,Hwedza,Mukamba,435,,,,,,,,,,
Mashonaland East,Hwedza,Sango,193,,,,,,,,,,
Mashonaland East,Hwedza,Sengezi Rural Health Centre,207,,,,,,,,,,
Mashonaland East,Hwedza,Tillita,55,,,,,,,,,,
Mashonaland East,Hwedza,Zviduri,111,,,,,,,,,,
Mashonaland East,Marondera,Arcadia Rural Council,175,,,,,,,,,,
Mashonaland East,Marondera,Benjimed Private,0,,,,,,,,,,
Mashonaland East,Marondera,Border Church Rural Health Centre,543,,,,,,,,,,
Mashonaland East,Marondera,Borradaile Pvt,0,,,,,,,,,,
Mashonaland East,Marondera,Chakadini,45,,,,,,,,,,
Mashonaland East,Marondera,Chimbwanda Rural Health Centre,181,,,,,,,,,,
Mashonaland East,Marondera,Chiota Rural,1159,,,,,,,,,,
Mashonaland East,Marondera,Chipararwe Council,809,,,,,,,,,,
Mashonaland East,Marondera,Dimbiti Rural Health Centre,744,,,,,,,,,,
Mashonaland East,Marondera,Dombotombo,0,,,,,,,,,,
Mashonaland East,Marondera,Dombotombo Council,2563,,,,,,,,,,
Mashonaland East,Marondera,IGAVA CESHHAR Mobile,0,,,,,,,,,,
Mashonaland East,Marondera,Igava,0,,,,,,,,,,
Mashonaland East,Marondera,Igava Council,941,,,,,,,,,,
Mashonaland East,Marondera,Kushinga Phikhelela Rural Health Centre,971,,,,,,,,,,
Mashonaland East,Marondera,Lustleigh Council,488,,,,,,,,,,
Mashonaland East,Marondera,Mahusekwa,1156,,,,,,,,,,
Mashonaland East,Marondera,Mandoga Council,0,,,,,,,,,,
Mashonaland East,Marondera,Marondera,3747,,,,,,,,,,
Mashonaland East,Marondera,Marondera CeSHHAR Mobile Sister's,0,,,,,,,,,,
Mashonaland East,Marondera,Marondera Rural Council,227,,,,,,,,,,
Mashonaland East,Marondera,Marondera ZNFPC,3,,,,,,,,,,
Mashonaland East,Marondera,Marondera ZRP,0,,,,,,,,,,
Mashonaland East,Marondera,Masikana Council,624,,,,,,,,,,
Mashonaland East,Marondera,Mother Paula Maternity,0,,,,,,,,,,
Mashonaland East,Marondera,Mt. Camel,0,,,,,,,,,,
Mashonaland East,Marondera,Mudzimurema Rural Health Centre,513,,,,,,,,,,
Mashonaland East,Marondera,Nyameni Council,1524,,,,,,,,,,
Mashonaland East,Marondera,Nyembanzvere Council,912,,,,,,,,,,
Mashonaland East,Marondera,Rakodzi Pvt,80,,,,,,,,,,
Mashonaland East,Marondera,Ridigita Farm Prison,319,,,,,,,,,,
Mashonaland East,Marondera,Waddilove,118,,,,,,,,,,
Mashonaland East,Marondera,Wenimbi Rural Health Centre,293,,,,,,,,,,
Mashonaland East,Marondera,ZPS Marondera Prison,124,,,,,,,,,,
Mashonaland East,Marondera,ZPS Ridigita Prison,0,,,,,,,,,,
Mashonaland East,Mudzi,Chikwizo,283,,,,,,,,,,
Mashonaland East,Mudzi,Chimango,83,,,,,,,,,,
Mashonaland East,Mudzi,Chimukoko Rural Health Centre,175,,,,,,,,,,
Mashonaland East,Mudzi,Chingamuka,198,,,,,,,,,,
Mashonaland East,Mudzi,Chingwena,77,,,,,,,,,,
Mashonaland East,Mudzi,Chisvo,153,,,,,,,,,,
Mashonaland East,Mudzi,Chiunye Rural Health Centre,220,,,,,,,,,,
Mashonaland East,Mudzi,Dendera,297,,,,,,,,,,
Mashonaland East,Mudzi,Goromonzi,273,,,,,,,,,,
Mashonaland East,Mudzi,Gozi Rural Health Centre,319,,,,,,,,,,
Mashonaland East,Mudzi,Kapotesa,184,,,,,,,,,,
Mashonaland East,Mudzi,Kondo Rural Health Centre,273,,,,,,,,,,
Mashonaland East,Mudzi,Kotwa,1710,,,,,,,,,,
Mashonaland East,Mudzi,Makaha Rural Health Centre,816,,,,,,,,,,
Mashonaland East,Mudzi,Masarakufa Rural Health Centre,345,,,,,,,,,,
Mashonaland East,Mudzi,Masenda,169,,,,,,,,,,
Mashonaland East,Mudzi,Mavhurazi,297,,,,,,,,,,
Mashonaland East,Mudzi,Mudzi Camp,0,,,,,,,,,,
Mashonaland East,Mudzi,Muzezuru Grace Life,221,,,,,,,,,,
Mashonaland East,Mudzi,Nyahuku,163,,,,,,,,,,
Mashonaland East,Mudzi,Nyamande,168,,,,,,,,,,
Mashonaland East,Mudzi,Nyamanyora Rural Health Centre,167,,,,,,,,,,
Mashonaland East,Mudzi,Nyamapanda,853,,,,,,,,,,
Mashonaland East,Mudzi,Nyamatawa,297,,,,,,,,,,
Mashonaland East,Mudzi,Nyamukoho,200,,,,,,,,,,
Mashonaland East,Mudzi,Nyapfunde,120,,,,,,,,,,
Mashonaland East,Mudzi,Nyarutepo,176,,,,,,,,,,
Mashonaland East,Mudzi,Shinga,221,,,,,,,,,,
Mashonaland East,Mudzi,St Pius,108,,,,,,,,,,
Mashonaland East,Mudzi,Suswe,686,,,,,,,,,,
Mashonaland East,Murewa,Chidiya,130,,,,,,,,,,
Mashonaland East,Murewa,Chingwaru,74,,,,,,,,,,
Mashonaland East,Murewa,Chitate Rural Health Centre,587,,,,,,,,,,
Mashonaland East,Murewa,Chitowa 1,182,,,,,,,,,,
Mashonaland East,Murewa,Chitowa 2,441,,,,,,,,,,
Mashonaland East,Murewa,Craiglea,325,,,,,,,,,,
Mashonaland East,Murewa,Dandara Rural Health Centre,341,,,,,,,,,,
Mashonaland East,Murewa,Dombwe Rural Health Centre,535,,,,,,,,,,
Mashonaland East,Murewa,Goso Rural Health Centre,269,,,,,,,,,,
Mashonaland East,Murewa,Jekwa Rural Health Centre,407,,,,,,,,,,
Mashonaland East,Murewa,Kadenge Rural Health Centre,546,,,,,,,,,,
Mashonaland East,Murewa,Kadzere Rural Health Centre,894,,,,,,,,,,
Mashonaland East,Murewa,Kambarami Rural Health Centre,347,,,,,,,,,,
Mashonaland East,Murewa,Macheke,2061,,,,,,,,,,
Mashonaland East,Murewa,Madamombe Rural Health Centre,328,,,,,,,,,,
Mashonaland East,Murewa,Matututu,168,,,,,,,,,,
Mashonaland East,Murewa,Muchinjike Rural Health Centre,218,,,,,,,,,,
Mashonaland East,Murewa,Munamba Rural Health Centre,525,,,,,,,,,,
Mashonaland East,Murewa,Murehwa ZRP,0,,,,,,,,,,
Mashonaland East,Murewa,Murewa CeSHHAR Mobile Sister's,0,,,,,,,,,,
Mashonaland East,Murewa,Murewa Gvt,1814,,,,,,,,,,
Mashonaland East,Murewa,Murewa Poly,0,,,,,,,,,,
Mashonaland East,Murewa,Murewa Polyclinic,1507,,,,,,,,,,
Mashonaland East,Murewa,Nehoreka Pvt,0,,,,,,,,,,
Mashonaland East,Murewa,Ngwerume Rural Health Centre,308,,,,,,,,,,
Mashonaland East,Murewa,Nhowe,893,,,,,,,,,,
Mashonaland East,Murewa,Nyamutumbu Rural Health Centre,798,,,,,,,,,,
Mashonaland East,Murewa,Shambamuto Rural Health Centre,461,,,,,,,,,,
Mashonaland East,Murewa,St Clares,124,,,,,,,,,,
Mashonaland East,Murewa,St Paul's Musami,2504,,,,,,,,,,
Mashonaland East,Murewa,Virginia,580,,,,,,,,,,
Mashonaland East,Murewa,Waterloo,155,,,,,,,,,,
Mashonaland East,Murewa,Welcome Home Rural Health Centre,221,,,,,,,,,,
Mashonaland East,Murewa,Wuyuwuyu,0,,,,,,,,,,
Mashonaland East,Murewa,ZPS Murewa Prison,47,,,,,,,,,,
Mashonaland East,Mutoko,Bepeta Rural Health Centre,124,,,,,,,,,,
Mashonaland East,Mutoko,Bondamakara,108,,,,,,,,,,
Mashonaland East,Mutoko,Charehwa,296,,,,,,,,,,
Mashonaland East,Mutoko,Chidye,234,,,,,,,,,,
Mashonaland East,Mutoko,Chikondoma,762,,,,,,,,,,
Mashonaland East,Mutoko,Chindenga,426,,,,,,,,,,
Mashonaland East,Mutoko,Chisambiro RHC,58,,,,,,,,,,
Mashonaland East,Mutoko,Gurure,49,,,,,,,,,,
Mashonaland East,Mutoko,Hoyuyu I Rural Health Centre,347,,,,,,,,,,
Mashonaland East,Mutoko,Hoyuyu II Rural Health Centre,261,,,,,,,,,,
Mashonaland East,Mutoko,Kapondoro Rural Health Centre,335,,,,,,,,,,
Mashonaland East,Mutoko,Katsukunya Rural Health Centre,554,,,,,,,,,,
Mashonaland East,Mutoko,Kawazva,145,,,,,,,,,,
Mashonaland East,Mutoko,Kawere Rural Health Centre,340,,,,,,,,,,
Mashonaland East,Mutoko,Kowo,354,,,,,,,,,,
Mashonaland East,Mutoko,Kushinga Rural Health Centre,377,,,,,,,,,,
Mashonaland East,Mutoko,Luisa Guidotti,1180,,,,,,,,,,
Mashonaland East,Mutoko,Madimutsa,114,,,,,,,,,,
Mashonaland East,Mutoko,Makosa Rural,681,,,,,,,,,,
Mashonaland East,Mutoko,Matedza,165,,,,,,,,,,
Mashonaland East,Mutoko,Mother of Peace,204,,,,,,,,,,
Mashonaland East,Mutoko,Mushimbo Rural Health Centre,346,,,,,,,,,,
Mashonaland East,Mutoko,Mutemwa Leprosy Settlement,120,,,,,,,,,,
Mashonaland East,Mutoko,Mutoko,2787,,,,,,,,,,
Mashonaland East,Mutoko,Nyadire,765,,,,,,,,,,
Mashonaland East,Mutoko,Nyadire Rural Health Centre,273,,,,,,,,,,
Mashonaland East,Mutoko,Nyamuzizi Rural Health Centre,201,,,,,,,,,,
Mashonaland East,Mutoko,Nyamuzuwe Rural,672,,,,,,,,,,
Mashonaland East,Mutoko,Nzira Rural Health Centre,268,,,,,,,,,,
Mashonaland East,Mutoko,ZN Army Camp Clinic Mutoko,34,,,,,,,,,,
Mashonaland East,Mutoko,ZPS Mutoko Prison,39,,,,,,,,,,
Mashonaland East,Seke,Acton Reynolds Rural Health Centre,171,,,,,,,,,,
Mashonaland East,Seke,Beatrice Rural,2685,,,,,,,,,,
Mashonaland East,Seke,Bwoni,5,,,,,,,,,,
Mashonaland East,Seke,Charakupa,513,,,,,,,,,,
Mashonaland East,Seke,Derbyshire,48,,,,,,,,,,
Mashonaland East,Seke,Jonasi,1424,,,,,,,,,,
Mashonaland East,Seke,Kunaka,2705,,,,,,,,,,
Mashonaland East,Seke,Lanark,55,,,,,,,,,,
Mashonaland East,Seke,Makanyazingwa,300,,,,,,,,,,
Mashonaland East,Seke,Marirangwe,679,,,,,,,,,,
Mashonaland East,Seke,Masasa Rural Health Centre,229,,,,,,,,,,
Mashonaland East,Seke,Mbuya Ruth Memorial,0,,,,,,,,,,
Mashonaland East,Seke,Muda,147,,,,,,,,,,
Mashonaland East,Seke,Ringa Rural Health Centre,257,,,,,,,,,,
Mashonaland East,Seke,Wheelerdale,93,,,,,,,,,,
Mashonaland East,Seke,Zhakata Rural Health Centre,284,,,,,,,,,,
Mashonaland East,Uzumba Maramba Pfungwe,Borera,292,,,,,,,,,,
Mashonaland East,Uzumba Maramba Pfungwe,Chikuhwa,345,,,,,,,,,,
Mashonaland East,Uzumba Maramba Pfungwe,Chipfunde,249,,,,,,,,,,
Mashonaland East,Uzumba Maramba Pfungwe,Chitimbe,314,,,,,,,,,,
Mashonaland East,Uzumba Maramba Pfungwe,Chitsungo,289,,,,,,,,,,
Mashonaland East,Uzumba Maramba Pfungwe,Dewe Council,98,,,,,,,,,,
Mashonaland East,Uzumba Maramba Pfungwe,Dindi,449,,,,,,,,,,
Mashonaland East,Uzumba Maramba Pfungwe,Hombiro,152,,,,,,,,,,
Mashonaland East,Uzumba Maramba Pfungwe,Kafura Rural Health Centre,273,,,,,,,,,,
Mashonaland East,Uzumba Maramba Pfungwe,Karimbika Rural Health Centre,341,,,,,,,,,,
Mashonaland East,Uzumba Maramba Pfungwe,Manyika,350,,,,,,,,,,
Mashonaland East,Uzumba Maramba Pfungwe,Maramba,271,,,,,,,,,,
Mashonaland East,Uzumba Maramba Pfungwe,Marembera Rural Health Centre,300,,,,,,,,,,
Mashonaland East,Uzumba Maramba Pfungwe,Mashambanhaka,597,,,,,,,,,,
Mashonaland East,Uzumba Maramba Pfungwe,Muskwe,181,,,,,,,,,,
Mashonaland East,Uzumba Maramba Pfungwe,Mutawatawa,761,,,,,,,,,,
Mashonaland East,Uzumba Maramba Pfungwe,Nhakiwa,719,,,,,,,,,,
Mashonaland East,Uzumba Maramba Pfungwe,Nyagande,12,,,,,,,,,,
Mashonaland East,Uzumba Maramba Pfungwe,Nyakasoro,364,,,,,,,,,,
Mashonaland East,Uzumba Maramba Pfungwe,Nyanzou,172,,,,,,,,,,
Mashonaland East,Uzumba Maramba Pfungwe,Sowa Rural Health Centre,143,,,,,,,,,,
Mashonaland East,Uzumba Maramba Pfungwe,Tsokodeka,84,,,,,,,,,,
Mashonaland West,Chegutu,Batsiranai Nursing Home,0,,,,,,,,,,
Mashonaland West,Chegutu,Beersheba Mission,497,,,,,,,,,,
Mashonaland West,Chegutu,Brunswick,896,,,,,,,,,,
Mashonaland West,Chegutu,Chegutu,1405,,,,,,,,,,
Mashonaland West,Chegutu,Chegutu CBDS,0,,,,,,,,,,
Mashonaland West,Chegutu,Chegutu CeSHHAR Mobile Sister's,0,,,,,,,,,,
Mashonaland West,Chegutu,Chegutu District Hospital FCH,127,,,,,,,,,,
Mashonaland West,Chegutu,Chegutu District Hospital OPD,3133,,,,,,,,,,
Mashonaland West,Chegutu,Chibero Rural Health Centre,0,,,,,,,,,,
Mashonaland West,Chegutu,Chikara,298,,,,,,,,,,
Mashonaland West,Chegutu,Chinengundu,1584,,,,,,,,,,
Mashonaland West,Chegutu,Chivero,694,,,,,,,,,,
Mashonaland West,Chegutu,Danangwe Rural District Council,269,,,,,,,,,,
Mashonaland West,Chegutu,David Whitehead,0,,,,,,,,,,
Mashonaland West,Chegutu,Dombwe,255,,,,,,,,,,
Mashonaland West,Chegutu,Dudley Hall,0,,,,,,,,,,
Mashonaland West,Chegutu,Fanham,545,,,,,,,,,,
Mashonaland West,Chegutu,Glenluce,411,,,,,,,,,,
Mashonaland West,Chegutu,Gora Rural Health Centre,473,,,,,,,,,,
Mashonaland West,Chegutu,Homedale,278,,,,,,,,,,
Mashonaland West,Chegutu,Hunyani Pulp,0,,,,,,,,,,
Mashonaland West,Chegutu,JZ Moyo Airbase,0,,,,,,,,,,
Mashonaland West,Chegutu,Jason Ziyapapa Moyo Air Base,0,,,,,,,,,,
Mashonaland West,Chegutu,Katanga Utano,1950,,,,,,,,,,
Mashonaland West,Chegutu,Kent Estate,26,,,,,,,,,,
Mashonaland West,Chegutu,Lismore,397,,,,,,,,,,
Mashonaland West,Chegutu,Mafuti,261,,,,,,,,,,
Mashonaland West,Chegutu,Mbuyanehanda Rural Health Centre,218,,,,,,,,,,
Mashonaland West,Chegutu,Mhondoro North,566,,,,,,,,,,
Mashonaland West,Chegutu,Mhondoro Rural,1182,,,,,,,,,,
Mashonaland West,Chegutu,Monera Rural Health Centre,524,,,,,,,,,,
Mashonaland West,Chegutu,Msengezi Rural Health Centre,331,,,,,,,,,,
Mashonaland West,Chegutu,Munemo,86,,,,,,,,,,
Mashonaland West,Chegutu,Mupawose,440,,,,,,,,,,
Mashonaland West,Chegutu,Mupfure,280,,,,,,,,,,
Mashonaland West,Chegutu,Musinami Rural Health Centre,780,,,,,,,,,,
Mashonaland West,Chegutu,Norton,3750,,,,,,,,,,
Mashonaland West,Chegutu,Padre Pio Poly,1259,,,,,,,,,,
Mashonaland West,Chegutu,Pfupajena Munic,1695,,,,,,,,,,
Mashonaland West,Chegutu,Presbyterian,260,,,,,,,,,,
Mashonaland West,Chegutu,Rwizi,320,,,,,,,,,,
Mashonaland West,Chegutu,Sandringham,172,,,,,,,,,,
Mashonaland West,Chegutu,Santa Barbara Mission,507,,,,,,,,,,
Mashonaland West,Chegutu,Selous,780,,,,,,,,,,
Mashonaland West,Chegutu,Shamrock,183,,,,,,,,,,
Mashonaland West,Chegutu,Tasunungurwa,300,,,,,,,,,,
Mashonaland West,Chegutu,Triple C,0,,,,,,,,,,
Mashonaland West,Chegutu,Watyoka,463,,,,,,,,,,
Mashonaland West,Chegutu,Zimbabwe Mining Development Corporation,0,,,,,,,,,,
Mashonaland West,Chegutu,Zimplats Selous,44,,,,,,,,,,
Mashonaland West,Hurungwe,Beugest RDC,272,,,,,,,,,,
Mashonaland West,Hurungwe,Chibara,492,,,,,,,,,,
Mashonaland West,Hurungwe,Chidamoyo,2034,,,,,,,,,,
Mashonaland West,Hurungwe,Chinhere,572,,,,,,,,,,
Mashonaland West,Hurungwe,Chiroti,277,,,,,,,,,,
Mashonaland West,Hurungwe,Chirundu Rural Health Centre,378,,,,,,,,,,
